id,code,name,shortName,description,expression,filter,aggregationType,analyticsType,decimals,displayInForm,program,sharing
A2nURqk9LMx,NEOIPC_ADMISSION_COMPLETED,NeoIPC Admission Completed,NeoIPC Adm. Compl.,"1 if the admission is completed, otherwise 0.",expressions/programIndicators/NEOIPC_ADMISSION_COMPLETED.expression.dhis2,expressions/programIndicators/NEOIPC_ADMISSION_COMPLETED.filter.dhis2,,EVENT,0,False,D8mSSpOpsKj,PUBLIC_RW
AsKrlGNQ2Iy,NEOIPC_DAY_OF_LIFE,NeoIPC Day of life,NeoIPC DOL,The day of life when an event occurs,expressions/programIndicators/NEOIPC_DAY_OF_LIFE.expression.dhis2,expressions/programIndicators/NEOIPC_DAY_OF_LIFE.filter.dhis2,,EVENT,0,False,D8mSSpOpsKj,PUBLIC_RW
Scio2GndATI,NEOIPC_ENROLLMENTS_ACTIVE,NeoIPC Number of enrollments (active),No. enrollments (act.),,expressions/programIndicators/NEOIPC_ENROLLMENTS_ACTIVE.expression.dhis2,expressions/programIndicators/NEOIPC_ENROLLMENTS_ACTIVE.filter.dhis2,COUNT,ENROLLMENT,0,False,D8mSSpOpsKj,NEOIPC_READ
J4nrp0CYvO8,NEOIPC_ENROLLMENTS_CANCELLED,NeoIPC Number of enrollments (cancelled),No. enrollments (canc.),,expressions/programIndicators/NEOIPC_ENROLLMENTS_CANCELLED.expression.dhis2,expressions/programIndicators/NEOIPC_ENROLLMENTS_CANCELLED.filter.dhis2,COUNT,ENROLLMENT,0,False,D8mSSpOpsKj,NEOIPC_READ
SFT8PJJoPRZ,NEOIPC_ENROLLMENTS_COMPLETED,NeoIPC Number of enrollments (completed),No. enrollments (comp.),,expressions/programIndicators/NEOIPC_ENROLLMENTS_COMPLETED.expression.dhis2,expressions/programIndicators/NEOIPC_ENROLLMENTS_COMPLETED.filter.dhis2,COUNT,ENROLLMENT,0,False,D8mSSpOpsKj,NEOIPC_READ
FiF48XVTo8s,NEOIPC_ENROLLMENTS_SUM,Enrollments,NEO_SumAllEnrollments_PI,,expressions/programIndicators/NEOIPC_ENROLLMENTS_SUM.expression.dhis2,,COUNT,ENROLLMENT,0,False,D8mSSpOpsKj,PUBLIC_RW
ApYgClc8SVA,NEOIPC_ENROLLMENTS_TOTAL,NeoIPC Number of enrollments (total),No. enrollments (tot.),,expressions/programIndicators/NEOIPC_ENROLLMENTS_TOTAL.expression.dhis2,,COUNT,ENROLLMENT,0,False,D8mSSpOpsKj,NEOIPC_READ
dI2A1nsgZgR,NEOIPC_ENROLLMENT_COMPLETED,NeoIPC Enrollment Completed,NeoIPC Enr. Compl.,"1 if the enrollment is completed, otherwise 0.",expressions/programIndicators/NEOIPC_ENROLLMENT_COMPLETED.expression.dhis2,expressions/programIndicators/NEOIPC_ENROLLMENT_COMPLETED.filter.dhis2,,EVENT,0,False,D8mSSpOpsKj,PUBLIC_RW
bpsntltaU4y,NEOIPC_MISSING_SURVEILLANCE_END,NeoIPC Missing surveillance end in closed enrollment,NeoIPC Missing sur. end in closed enr.,,expressions/programIndicators/NEOIPC_MISSING_SURVEILLANCE_END.expression.dhis2,expressions/programIndicators/NEOIPC_MISSING_SURVEILLANCE_END.filter.dhis2,COUNT,ENROLLMENT,0,,D8mSSpOpsKj,PUBLIC_RW
JPtrr8SWsHW,NEOIPC_SURVEILLANCE_ENDS_SUM,NEO_SumAllSurvEnde_PI,NEO_SumAllSurvEnde_PI,,expressions/programIndicators/NEOIPC_SURVEILLANCE_ENDS_SUM.expression.dhis2,expressions/programIndicators/NEOIPC_SURVEILLANCE_ENDS_SUM.filter.dhis2,COUNT,EVENT,,False,D8mSSpOpsKj,PUBLIC_RW
taydZHWlYCt,NEOIPC_SURVEILLANCE_END_COMPLETED,Surveillance-End_Completed,Surveillance-End_Completed,,expressions/programIndicators/NEOIPC_SURVEILLANCE_END_COMPLETED.expression.dhis2,expressions/programIndicators/NEOIPC_SURVEILLANCE_END_COMPLETED.filter.dhis2,,EVENT,,False,D8mSSpOpsKj,PUBLIC_RW
