id,code,name,shortName,formName,description,url,valueType,domainType,aggregationType,zeroIsSignificant,categoryCombo,optionSet,commentOptionSet,aggregationLevels,legendSets,sharing
FldNZAe2r9H,AAA_OLD_DELETE_NEOIPC_ADMISSION_BIRTH_WEIGTH,AAA Old Delete - NeoIPC Admission birth weight,AAA Old Delete - NeoIPC Adm. BW,,,,INTEGER,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,"{""public"":""rw------""}"
rvq4L9wWbwW,NEOIPC_ADMISSION_DOL,NeoIPC Admission on day of life,NeoIPC Adm. DOL,Admission on day of life,"For infants that have not been delivered in your own hospital, record the infant's day of life on the day of admission (day of birth = day of life 1. The next day, starting at 00:00, is the second day of life.)",,INTEGER_POSITIVE,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,"{""public"":""rw------""}"
Lwa9Jp5xSnR,NEOIPC_ADMISSION_LOS,NeoIPC Admission Length of Stay,NeoIPC Adm. LOS,Day of occurrence after admission,Length of Stay (should always be 0). For Reporting purpose only,,INTEGER_ZERO_OR_POSITIVE,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,"{""public"":""rw------""}"
AgBqfnnsUzd,NEOIPC_ADMISSION_TYPE,NeoIPC Admission type,NeoIPC Adm. type,Admission type,"Describes if the infant was born in your hospital or if it was admitted after birth and if so, how long after birth.",,INTEGER_POSITIVE,TRACKER,DEFAULT,False,bjDvmb4bfuf,l6HnyhcwF28,,,,"{""public"":""rw------""}"
NjFq3pakY2I,NEOIPC_BSI_AB_TREATMENT,NeoIPC BSI Antibiotic treatment,NeoIPC BSI AB treatment,Intravenous antibiotic therapy for five or more days initiated,"Antibiotic treatment for at least five days was initiated. The day of the first dose and the day of the last dose are counted. Days where no dose was administered between the first and the last dose (e.g., skipped doses because of high drug levels in therapeutic drug monitoring) are counted as if a dose had been administered. Days after the last dose are not counted regardless of the patient's measured or assumed drug level. If the infant died, was discharged, or transferred before the end of the five-day course of intravenous antibiotics, this condition is met if treatment was scheduled for five days or more.",,TRUE_ONLY,TRACKER,DEFAULT,False,bjDvmb4bfuf,,,,,"{""public"":""rw------""}"
ER7WiNywdyP,NEOIPC_BSI_ACIDOSIS,NeoIPC BSI Acidosis,NeoIPC BSI Acidosis,Unexplained metabolic acidosis,Unexplained metabolic acidosis with a base deficit greater than 10 mmol/L (base excess more negative than -10 mmol/L).,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,"{""public"":""rw------""}"
iQpOYLxp4eD,NEOIPC_BSI_APNOEA,NeoIPC BSI Apnoea,NeoIPC BSI Apnoea,New/more frequent episodes of apnea or increases in oxygen demand or ventilatory support,"New or increased frequency of episodes of apnea lasting more than 20 seconds, or an increase in the amount of oxygen required to maintain adequate oxygenation, or an escalation of ventilatory support, such as increased flow with high-flow therapy or intubation for invasive ventilation.",,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,"{""public"":""rw------""}"
A639BT2Jccy,NEOIPC_BSI_BRADYCARDIA,NeoIPC BSI Bradycardias,NeoIPC BSI Bradys,New/more frequent bradycardia or tachycardia,New/more frequent episodes of bradycardia with a heart rate of less than 80 beats per minute or otherwise unexplained tachycardia with a resting heart rate of more than 200 beats per minute.,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,"{""public"":""rw------""}"
nHtkCl6Er79,NEOIPC_BSI_CRP,NeoIPC BSI CRP,NeoIPC BSI CRP,Increased level of CRP,There is at least one laboratory test result with a C-reactive protein (CRP) value of more than 10 mg/L (1 mg/dL).,,BOOLEAN,TRACKER,DEFAULT,True,bjDvmb4bfuf,,,,,"{""public"":""rw------""}"
rzfND0l97Fl,NEOIPC_BSI_DEV_ASS,NeoIPC BSI Device association,NeoIPC BSI Device assoc.,Vascular catheter association,"An infection is considered as vascular catheter-associated if the catheter has been present for at least three consecutive days on the day of infection (=first symptoms or first positive diagnostic test; e.g. culture) or the day before. Both, central venous catheter (CVC) association and peripheral venous catheter (PVC) association are recorded. If a patient developing a bloodstream infection meets the criteria for both, PVC- and CVC-association, the CVC is considered as the device with the relatively higher infection risk and the BSI should be recorded as CVC-associated BSI.",,INTEGER_ZERO_OR_POSITIVE,TRACKER,DEFAULT,True,bjDvmb4bfuf,u02n1RdrOmy,,,,"{""public"":""rw------""}"
